,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,업종
159,아이원스,114810,4.813529921942758,4.1528239202657815,0.4500450045004501,4.6840958605664476,특수 목적용 기계 제조업
160,아이즈비전,31310,10.844892812105927,18.26215022091311,-0.639386189258312,3.3773861967694567,전기 통신업
161,아이티센,124500,3.3718689788053946,2.9759770527070635,8.537017357421183,6.384839650145772,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
162,알리코제약,260660,20.319634703196343,11.78343949044586,21.079258010118046,14.644351464435148,의료용품 및 기타 의약 관련제품 제조업
163,알에프세미,96610,0.23923444976076555,0.6571741511500547,-0.8333333333333334,-8.433734939759036,반도체 제조업
164,알에프텍,61040,10.256410256410255,5.8645096056622865,8.172177167810355,3.820224719101124,통신 및 방송 장비 제조업
165,애니플러스,310200,11.724137931034482,19.745222929936308,0.0,-6.25,"영화, 비디오물, 방송프로그램 제작 및 배급업"
166,어보브반도체,102120,12.73344651952462,13.425129087779693,21.71875,25.931677018633547,반도체 제조업
167,에스아이리소스,65420,-91.66666666666666,-7.936507936507937,29.411764705882355,1.1764705882352942,석탄 광업
168,에스앤더블류,103230,-8.598130841121495,-15.992292870905588,-4.0968342644320295,-2.8517110266159698,일반 목적용 기계 제조업
169,에스앤에스텍,101490,2.341463414634146,5.158730158730158,9.99099909990999,7.636655948553054,전자부품 제조업
170,에스에너지,95910,3.3238751520064858,-0.62266500622665,0.5313092979127134,1.542207792207792,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
171,에스코넥,96630,14.586466165413531,13.235294117647062,-11.63895486935867,-15.174506828528072,통신 및 방송 장비 제조업
172,에쎈테크,43340,1.2295081967213115,6.178489702517163,0.9975062344139649,0.929368029739777,일반 목적용 기계 제조업
173,에이루트,96690,-4.4303797468354436,-24.324324324324326,-2.631578947368421,-5.215419501133787,컴퓨터 및 주변장치 제조업
174,에이스토리,241840,-27.835051546391753,8.75912408759124,-6.547619047619048,-6.60377358490566,"영화, 비디오물, 방송프로그램 제작 및 배급업"
175,에이티넘인베스트,21080,19.24882629107981,12.213740458015266,12.19512195121951,12.417218543046355,신탁업 및 집합투자업
176,엑세스바이오,950130,-10.31390134529148,-6.303724928366762,-14.571948998178508,3.2341526520051747,의료용품 및 기타 의약 관련제품 제조업
177,엑스큐어,70300,-26.760563380281692,-32.608695652173914,10.20408163265306,-3.4090909090909087,소프트웨어 개발 및 공급업
178,엑시콘,92870,13.818181818181818,7.1017274472168905,-9.961685823754788,9.041591320072333,특수 목적용 기계 제조업
179,엔피케이,48830,3.766478342749529,0.17452006980802792,-0.4518072289156626,0.4497751124437781,합성고무 및 플라스틱 물질 제조업
180,엠게임,58630,22.897196261682247,16.071428571428573,28.8,28.389830508474574,소프트웨어 개발 및 공급업
181,엠벤처투자,19590,-20.065789473684205,7.250755287009064,20.75055187637969,-5.405405405405406,신탁업 및 집합투자업
182,엠씨넥스,97520,6.978391781792419,13.110047846889954,27.57191613846904,8.720821661998132,영상 및 음향기기 제조업
183,영화테크,265560,19.060773480662984,9.090909090909092,-4.504504504504505,-5.0,자동차 신품 부품 제조업
184,오공,45060,8.89110889110889,7.606490872210954,9.044715447154474,6.827731092436975,기타 화학제품 제조업
185,오스템임플란트,48260,5.2593310712554535,6.4009911212058626,6.8882466281310215,7.860529132894938,의료용 기기 제조업
186,오픈베이스,49480,2.5899280575539567,-2.061855670103093,3.7195994277539337,-4.9904030710172735,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
187,옵티시스,109080,16.27906976744186,22.377622377622377,11.340206185567009,6.962025316455697,통신 및 방송 장비 제조업
188,와이지-원,19210,8.270571827057182,5.619773733398918,1.596516690856313,-1.840187723848339,기타 금속 가공제품 제조업
189,우리바이오,82850,-0.7540394973070017,-2.1398747390396657,4.695251594613749,5.290836653386454,전구 및 조명장치 제조업
190,원익QnC,74600,17.411764705882348,14.589235127478752,8.787684413085312,5.281591482207902,유리 및 유리제품 제조업
191,원익큐브,14190,3.386454183266932,-1.5090543259557343,-1.7357762777242045,1.9957983193277309,기타 전문 도매업
192,원풍물산,8290,1.0989010989010992,-1.0723860589812333,-3.4120734908136483,-7.880434782608696,봉제의복 제조업
193,웨이브일렉트로,95270,2.5703794369645037,-10.59850374064838,-42.53472222222222,-18.11175337186898,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
194,웰크론,65950,2.26537216828479,3.795565576850808,1.3882002974714922,4.360135900339751,직물직조 및 직물제품 제조업
195,위지트,36090,11.898016997167142,12.311557788944723,-2.6829268292682933,-2.6246719160104988,특수 목적용 기계 제조업
196,유니온커뮤니티,203450,6.25,9.039548022598868,8.75,3.87409200968523,통신 및 방송 장비 제조업
197,유니테크노,241690,12.084063047285463,7.003444316877153,6.322444678609062,2.6680896478121667,자동차 신품 부품 제조업
198,유비쿼스홀딩스,78070,5.3156146179402,19.908466819221967,15.893271461716935,17.634173055859804,통신 및 방송 장비 제조업
199,유신,54930,1.2547051442910917,-9.15492957746479,-10.714285714285714,0.7063572149344097,"건축기술, 엔지니어링 및 관련 기술 서비스업"
200,유안타제5호스팩,336060,,,,0.0,금융 지원 서비스업
201,유안타제7호스팩,367460,,,,,금융 지원 서비스업
202,유진스팩5호,331380,,,0.0,0.0,금융 지원 서비스업
203,유테크,178780,-12.37693389592124,-29.292929292929287,-38.626609442060094,-2.373887240356084,전자부품 제조업
204,유티아이,179900,37.46835443037975,15.74803149606299,11.07205623901582,0.0,전자부품 제조업
205,이스트소프트,47560,-1.5652173913043481,3.3783783783783785,-3.211009174311927,3.547671840354768,소프트웨어 개발 및 공급업
206,이스트아시아홀딩스,900110,7.454128440366973,6.666666666666668,9.682539682539684,-1.2919896640826871,기타 금융업
207,이엠네트웍스,87730,-10.869565217391305,-28.8,-20.5188679245283,-9.392265193370166,합성고무 및 플라스틱 물질 제조업
208,이엠넷,123570,11.864406779661017,14.395886889460154,16.702819956616054,7.84313725490196,광고업
209,이지바이오,353810,,,,15.362731152204836,동물용 사료 및 조제식품 제조업
210,인베니아,79950,7.083333333333332,5.298013245033113,2.3536165327210106,0.642570281124498,특수 목적용 기계 제조업
211,인텍플러스,64290,2.0408163265306123,-35.321100917431195,14.838709677419354,13.28125,특수 목적용 기계 제조업
212,자비스,254120,1.4925373134328357,-3.3783783783783785,-3.296703296703297,-4.069767441860465,특수 목적용 기계 제조업
213,자이글,234920,8.7667161961367,-9.142857142857142,-31.38832997987928,0.8032128514056224,가정용 기기 제조업
214,장원테크,174880,3.9051603905160386,13.36405529953917,-5.045278137128072,-20.57971014492753,통신 및 방송 장비 제조업
215,정상제이엘에스,40420,16.16954474097331,15.935672514619885,14.17989417989418,7.352941176470589,일반 교습 학원
216,제우스,79370,12.485811577752552,12.184746277727134,5.730478589420653,3.9165962242885315,특수 목적용 기계 제조업
217,제이엠티,94970,16.666666666666664,21.34831460674157,4.504504504504505,2.4615384615384617,전자부품 제조업
218,제일제강,23440,1.4492753623188406,0.853658536585366,-4.302477183833116,-4.156171284634762,1차 철강 제조업
219,제주반도체,80220,10.566037735849056,7.134894091415831,3.822055137844612,5.202312138728324,반도체 제조업
220,젬백스,82270,-3.131991051454139,-1.9390581717451525,-25.30120481927711,7.83289817232376,특수 목적용 기계 제조업
221,조아제약,34940,0.5059021922428331,2.2222222222222223,-0.6589785831960462,0.4643962848297213,의약품 제조업
222,주성엔지니어링,36930,16.219369894982496,12.010443864229766,9.366474689299787,-4.274937133277452,특수 목적용 기계 제조업
223,지엔씨에너지,119850,7.928994082840236,7.004310344827585,8.242753623188406,3.854166666666667,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
224,지엔코,65060,8.56898029134533,-22.448979591836732,-6.229508196721313,-7.6991150442477885,봉제의복 제조업
225,캐스텍코리아,71850,2.733578131374949,1.7574692442882252,-0.6901561932437341,-2.51353441608662,자동차 신품 부품 제조업
226,케이비제20호스팩,342550,,,,-100.0,금융 지원 서비스업
227,케이피엠테크,42040,-28.155339805825246,-1.2345679012345678,-36.95652173913043,-19.471947194719476,기타 화학제품 제조업
228,케이피티유,54410,3.571428571428571,7.174887892376683,3.1578947368421053,3.191489361702128,기타 금속 가공제품 제조업
229,켄코아에어로스페이스,274090,-2.8571428571428568,-5.263157894736842,-4.436229205175602,-6.398809523809524,"항공기,우주선 및 부품 제조업"
230,코렌,78650,-15.416666666666668,6.885758998435055,3.302373581011352,-24.160346695557962,사진장비 및 광학기기 제조업
231,코프라,126600,8.300395256916996,4.25388251181634,7.489711934156379,7.558139534883719,합성고무 및 플라스틱 물질 제조업
232,크로바하이텍,43590,-3.665987780040733,-26.99228791773779,-18.181818181818183,-8.791208791208794,반도체 제조업
233,클리노믹스,352770,,-51.28205128205128,-47.872340425531924,,의료용품 및 기타 의약 관련제품 제조업
